#id,screen_name,friends_count,followers_count,favourites_count,statuses_count,name,Following
51546468,joeerl,167,3946,2,242,Joe Armstrong,
27152588,atm,366,1094,0,1698,Aaron T. Myers,
114485232,lintool,224,5580,1,1495,Jimmy Lin,
7542902,cutting,91,5822,41,309,Doug Cutting,
14175950,jonromero,722,1277,4,3342,jonromero,
39231585,gluggergames,659,709,236,7309,Dragica Kahlina,Yes
15379361,johnmyleswhite,640,3977,214,9900,John Myles White,
43186378,CMastication,2140,3005,1943,21564,JD Long,
36153601,bradfordcross,549,6932,1244,11911,bradford cross,
248756011,joyofclojure,9,766,0,159,Joy O. Clojure,
6848912,philippkueng,647,1199,1433,5015,Philipp Küng,Yes
215395697,palletops,60,387,2,141,pallet,
392730389,ClojureWest,1,866,0,1127,Clojure/West,
48685592,edmundjackson,151,454,1,279,Edmund Jackson,
43404404,sthuebner,514,380,1360,2343,Stefan Hübner,
13772762,hugoduncan,116,477,355,473,Hugo Duncan,Yes
8626922,kingtim,63,61,5,81,kingtim,
13033522,michaelklishin,305,1052,146,8282,Michael Klishin,
16484216,old_sound,574,2264,1017,40558,Álvaro Videla,Yes
238285335,alanmalloy,62,199,71,410,Alan Malloy,
403629267,ClojureBook,5,835,0,112,Clojure Programming,
13568022,ohpauleez,130,496,0,1283,Paulie,
14375110,fogus,253,5967,18,13375,fogus,
146070339,planetclojure,0,3071,0,4374,Planet Clojure,
73445737,jimduey,242,537,4,1257,Jim Duey,
21439272,chrishouser,55,1953,9,1916,Chouser,
348101227,overtone,6,598,21,885,Overtone,
255617445,worrydream,28,19413,35,249,Bret Victor,
330878154,ambrosebs,186,862,110,1882,Ambrose BS,
14066472,pacoid,1884,1434,716,3568,paco nathan,Yes
15184260,TommyVulgar,71,205,1,630,Tom Hickey,
14074371,sritchie,337,966,354,2379,Sam Ritchie,
22637653,stuartsierra,288,2883,210,4938,Stuart Sierra,
14862437,weavejester,53,522,1,104,James Reeves,
22210051,scgilardi,212,201,5,84,Stephen C. Gilardi,
14569541,puredanger,6173,6999,24,12239,Alex Miller,
636003,samaaron,253,1673,334,2837,Sam Aaron,
28045502,strangeloop_stl,7,3151,1,4094,Strange Loop Conf,
472291315,datomic_team,4,1152,0,160,Datomic,
6108572,amitrathore,1427,1696,16,1097,Amit Rathore,
716086699,techmeshconf,54,223,28,206,Tech Mesh,
123323498,jashkenas,208,15523,0,3508,Jeremy Ashkenas,
16602164,typesafe,123,9698,490,996,Typesafe,
14184390,stuarthalloway,357,5157,1,1039,stuarthalloway,
454676858,lynaghk,118,574,23,277,Kevin Lynagh,
85867810,brentonashworth,190,729,481,950,Brenton Ashworth,
180379640,clojure_conj,0,1738,0,386,Clojure/conj,
13334762,github,144,136249,130,2471,GitHub,
9891642,mmcgrana,883,1807,252,529,Mark McGranaghan,
46957751,nathanmarz,242,7967,20,2466,Nathan Marz,
15029885,cemerick,196,2342,162,8787,Chas Emerick,
73074511,pyr,246,542,29,1921,Pierre-Yves,Yes
534062307,tgkristensen,67,70,5,153,Thomas G. Kristensen,Yes
189045861,ibdknox,14,4248,1,512,Chris Granger,
6264792,technomancy,96,3619,638,6852,Phil Hagelberg,
14447365,ztellman,289,880,2,548,Zach Tellman,
46130870,richhickey,0,10019,0,198,Rich Hickey,
31245580,kotarak,75,500,0,1929,Meikel Brandmeyer,
1819511,swannodette,296,3480,1474,7445,David Nolen,
68652518,xvinz,233,122,13,498,Vincent Marque,Yes
123701085,nilsgrunwald,212,157,47,1263,Nils Grunwald,
5156041,cgrand,88,1790,20,1005,Christophe Grand,Yes
157741394,cazorf,38,53,1,377,François Cazor,
63643,mpenet,685,309,66,2233,Max Penet,Yes
